name,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
"Kelly, Mr. Patrick",0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False
"Carter, Miss. Sarah",1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
"Fitzgerald, Miss. Hannah",1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True
"Harris, Miss. Florence",1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
"White, Mr. Harold",0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Andrews, Mr. Harold",0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True
"Harris, Mr. Robert",0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True
"Nelson, Master. Charles",0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
"Andrews, Mrs. Alice",1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False
"Davis, Miss. Emily",1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False
"Gordon, Miss. Hannah",1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False
"Thompson, Miss. Mary",1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
"Jones, Mr. Joseph",0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Quinn, Mr. John",0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False
"Jones, Miss. Florence",0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True
"Fitzgerald, Miss. Helen",1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True
"Gordon, Master. Harold",0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
"Nelson, Mr. William",1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True
"Harris, Miss. Margaret",0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False
"Clark, Miss. Emily",1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True
"Andrews, Mr. Samuel",0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
"Gordon, Mr. Patrick",1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
"Taylor, Miss. Alice",1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True
"Roberts, Mr. Frank",1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
"Allen, Miss. Margaret",0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
"Bird, Mrs. Emily",1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False
"Taylor, Mr. Harold",0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
"Roberts, Mr. Thomas",0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False
"Brown, Miss. Edith",1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
"Taylor, Mr. George",0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Carter, Mr. Henry",0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
"Quinn, Miss. Ruth",1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False
"Young, Miss. Sarah",1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
"Stewart, Mr. Edward",0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
"Brown, Mr. Samuel",0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False
"Gordon, Mr. Patrick",0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False
"Carter, Mr. James",1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True
"Nelson, Mr. Joseph",0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Brown, Miss. Sarah",0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False
"Gordon, Miss. Edith",1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
"Davies, Miss. Sarah",0,3,female,40.0,1,0,9.475,S,Third,woman,False,,Southampton,no,False
"Smith, Miss. Margaret",0,2,female,27.0,1,0,21.0,S,Second,woman,False,,Southampton,no,False
"Davies, Mr. George",0,3,male,,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
"Bird, Miss. Mary",1,2,female,3.0,1,2,41.5792,C,Second,child,False,,Cherbourg,yes,False
"Stewart, Miss. Margaret",1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
"Jones, Mr. Harold",0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Clark, Mr. Henry",0,3,male,,1,0,15.5,Q,Third,man,True,,Queenstown,no,False
"Evans, Miss. Catherine",1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
"Smith, Mr. George",0,3,male,,2,0,21.6792,C,Third,man,True,,Cherbourg,no,False
"Harris, Miss. Hannah",0,3,female,18.0,1,0,17.8,S,Third,woman,False,,Southampton,no,False
"O'Brien, Master. John",0,3,male,7.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
"Thompson, Mr. Henry",0,3,male,21.0,0,0,7.8,S,Third,man,True,,Southampton,no,True
"Taylor, Miss. Bridget",1,1,female,49.0,1,0,76.7292,C,First,woman,False,D,Cherbourg,yes,False
"Thompson, Miss. Hannah",1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
"Nelson, Mr. Henry",0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False
"Lewis, Mr. Samuel",1,1,male,,0,0,35.5,S,First,man,True,C,Southampton,yes,True
"Taylor, Miss. Alice",1,2,female,21.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
"Nelson, Mr. Frank",0,3,male,28.5,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
"Andrews, Miss. Mary",1,2,female,5.0,1,2,27.75,S,Second,child,False,,Southampton,yes,False
"Phillips, Master. Walter",0,3,male,11.0,5,2,46.9,S,Third,child,False,,Southampton,no,False
"Lewis, Mr. William",0,3,male,22.0,0,0,7.2292,C,Third,man,True,,Cherbourg,no,True
"Andrews, Miss. Elizabeth",1,1,female,38.0,0,0,80.0,,First,woman,False,B,,yes,True
"Quinn, Mr. Thomas",0,1,male,45.0,1,0,83.475,S,First,man,True,C,Southampton,no,False
"Kelly, Master. Charles",0,3,male,4.0,3,2,27.9,S,Third,child,False,,Southampton,no,False
"Bird, Mr. Frank",0,1,male,,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
"Martin, Mr. Henry",1,3,male,,1,1,15.2458,C,Third,man,True,,Cherbourg,yes,False
"Stewart, Miss. Bridget",1,2,female,29.0,0,0,10.5,S,Second,woman,False,F,Southampton,yes,True
"Andrews, Mr. Henry",0,3,male,19.0,0,0,8.1583,S,Third,man,True,,Southampton,no,True
"Quinn, Mrs. Ruth",1,3,female,17.0,4,2,7.925,S,Third,woman,False,,Southampton,yes,False
"Walsh, Mr. Joseph",0,3,male,26.0,2,0,8.6625,S,Third,man,True,,Southampton,no,False
"Martin, Mr. Frank",0,2,male,32.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
"Jones, Mrs. Hannah",0,3,female,16.0,5,2,46.9,S,Third,woman,False,,Southampton,no,False
"McCarthy, Mr. George",0,2,male,21.0,0,0,73.5,S,Second,man,True,,Southampton,no,True
"Walsh, Mr. James",0,3,male,26.0,1,0,14.4542,C,Third,man,True,,Cherbourg,no,False
"Wilson, Mr. Robert",1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
"McCarthy, Mr. John",0,3,male,25.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
"Brown, Mr. Edward",0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Young, Mr. Patrick",0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Carter, Master. Frank",1,2,male,0.83,0,2,29.0,S,Second,child,False,,Southampton,yes,False
"Young, Miss. Hannah",1,3,female,30.0,0,0,12.475,S,Third,woman,False,,Southampton,yes,True
"Nelson, Mr. Walter",0,3,male,22.0,0,0,9.0,S,Third,man,True,,Southampton,no,True
"Andrews, Mr. William",1,3,male,29.0,0,0,9.5,S,Third,man,True,,Southampton,yes,True
"Andrews, Miss. Elizabeth",1,3,female,,0,0,7.7875,Q,Third,woman,False,,Queenstown,yes,True
"Quinn, Mr. Edward",0,1,male,28.0,0,0,47.1,S,First,man,True,,Southampton,no,True
"Harris, Miss. Anna",1,2,female,17.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
"Harris, Miss. Mary",1,3,female,33.0,3,0,15.85,S,Third,woman,False,,Southampton,yes,False
"Stewart, Mr. John",0,3,male,16.0,1,3,34.375,S,Third,man,True,,Southampton,no,False
"Davies, Mr. Arthur",0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
"McCarthy, Mrs. Mary",1,1,female,23.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
"Roberts, Mr. Harold",0,3,male,24.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Wilson, Mr. Arthur",0,3,male,29.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Quinn, Mr. Harold",0,3,male,20.0,0,0,7.8542,S,Third,man,True,,Southampton,no,True
"White, Mr. Samuel",0,1,male,46.0,1,0,61.175,S,First,man,True,E,Southampton,no,False
"Carter, Mr. Joseph",0,3,male,26.0,1,2,20.575,S,Third,man,True,,Southampton,no,False
"Wilson, Mr. James",0,3,male,59.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
"Walsh, Mr. Robert",0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Stewart, Mr. Samuel",0,1,male,71.0,0,0,34.6542,C,First,man,True,A,Cherbourg,no,True
"White, Mr. George",1,1,male,23.0,0,1,63.3583,C,First,man,True,D,Cherbourg,yes,False
"White, Mrs. Bertha",1,2,female,34.0,0,1,23.0,S,Second,woman,False,,Southampton,yes,False
"Brown, Mr. George",0,2,male,34.0,1,0,26.0,S,Second,man,True,,Southampton,no,False
"Fitzgerald, Miss. Florence",0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True
"Jones, Mr. William",0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Smith, Mr. George",0,1,male,21.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
"Evans, Mr. Robert",0,3,male,33.0,0,0,8.6542,S,Third,man,True,,Southampton,no,True
"Carter, Mr. William",0,3,male,37.0,2,0,7.925,S,Third,man,True,,Southampton,no,False
"Smith, Mr. Henry",0,3,male,28.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Martin, Miss. Bertha",1,3,female,21.0,0,0,7.65,S,Third,woman,False,,Southampton,yes,True
"O'Brien, Mr. Robert",1,3,male,,0,0,7.775,S,Third,man,True,,Southampton,yes,True
"Andrews, Mr. Edward",0,3,male,38.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Davies, Miss. Helen",1,3,female,,1,0,24.15,Q,Third,woman,False,,Queenstown,yes,False
"Smith, Mr. George",0,1,male,47.0,0,0,52.0,S,First,man,True,C,Southampton,no,True
"Stewart, Miss. Bridget",0,3,female,14.5,1,0,14.4542,C,Third,child,False,,Cherbourg,no,False
"Bird, Mr. Joseph",0,3,male,22.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Carter, Miss. Bridget",0,3,female,20.0,1,0,9.825,S,Third,woman,False,,Southampton,no,False
"Harris, Miss. Margaret",0,3,female,17.0,0,0,14.4583,C,Third,woman,False,,Cherbourg,no,True
"Quinn, Mr. John",0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
"Taylor, Mr. Joseph",0,3,male,70.5,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
"Martin, Mr. John",0,2,male,29.0,1,0,21.0,S,Second,man,True,,Southampton,no,False
"Smith, Mr. Patrick",0,1,male,24.0,0,1,247.5208,C,First,man,True,B,Cherbourg,no,False
"Allen, Miss. Elizabeth",0,3,female,2.0,4,2,31.275,S,Third,child,False,,Southampton,no,False
"Evans, Mr. John",0,2,male,21.0,2,0,73.5,S,Second,man,True,,Southampton,no,False
"Allen, Mr. Henry",0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Nelson, Mr. Samuel",0,2,male,32.5,1,0,30.0708,C,Second,man,True,,Cherbourg,no,False
"Lewis, Miss. Emily",1,2,female,32.5,0,0,13.0,S,Second,woman,False,E,Southampton,yes,True
"Martin, Mr. Walter",0,1,male,54.0,0,1,77.2875,S,First,man,True,D,Southampton,no,False
"Clark, Master. Arthur",1,3,male,12.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
"Davies, Mr. Patrick",0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
"Gordon, Mr. Walter",1,3,male,24.0,0,0,7.1417,S,Third,man,True,,Southampton,yes,True
"Quinn, Mrs. Margaret",1,3,female,,1,1,22.3583,C,Third,woman,False,F,Cherbourg,yes,False
"Evans, Mr. Thomas",0,3,male,45.0,0,0,6.975,S,Third,man,True,,Southampton,no,True
"Thompson, Mr. Henry",0,3,male,33.0,0,0,7.8958,C,Third,man,True,,Cherbourg,no,True
"Roberts, Mr. Harold",0,3,male,20.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
"Brown, Miss. Bertha",0,3,female,47.0,1,0,14.5,S,Third,woman,False,,Southampton,no,False
"Brown, Miss. Florence",1,2,female,29.0,1,0,26.0,S,Second,woman,False,,Southampton,yes,False
"Andrews, Mr. Frank",0,2,male,25.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
"Wilson, Mr. Joseph",0,2,male,23.0,0,0,15.0458,C,Second,man,True,,Cherbourg,no,True
"Gordon, Mrs. Emily",1,1,female,19.0,0,2,26.2833,S,First,woman,False,D,Southampton,yes,False
"Davies, Mr. Arthur",0,1,male,37.0,1,0,53.1,S,First,man,True,C,Southampton,no,False
"White, Mr. Robert",0,3,male,16.0,0,0,9.2167,S,Third,man,True,,Southampton,no,True
"Bird, Mr. John",0,1,male,24.0,0,0,79.2,C,First,man,True,B,Cherbourg,no,True
"Fitzgerald, Mrs. Catherine",0,3,female,,0,2,15.2458,C,Third,woman,False,,Cherbourg,no,False
"Walsh, Miss. Anna",1,3,female,22.0,0,0,7.75,S,Third,woman,False,,Southampton,yes,True
"Taylor, Miss. Helen",1,3,female,24.0,1,0,15.85,S,Third,woman,False,,Southampton,yes,False
"Martin, Mr. Robert",0,3,male,19.0,0,0,6.75,Q,Third,man,True,,Queenstown,no,True
"Evans, Mr. Walter",0,2,male,18.0,0,0,11.5,S,Second,man,True,,Southampton,no,True
"Taylor, Mr. Henry",0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False
"Wilson, Mr. James",1,3,male,27.0,0,0,7.7958,S,Third,man,True,,Southampton,yes,True
"Walsh, Miss. Florence",0,3,female,9.0,2,2,34.375,S,Third,child,False,,Southampton,no,False
"Roberts, Mr. George",0,2,male,36.5,0,2,26.0,S,Second,man,True,F,Southampton,no,False
"Phillips, Mr. Walter",0,2,male,42.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
"Bird, Mr. Samuel",0,2,male,51.0,0,0,12.525,S,Second,man,True,,Southampton,no,True
"McCarthy, Miss. Bertha",1,1,female,22.0,1,0,66.6,S,First,woman,False,C,Southampton,yes,False
"Davis, Mr. Edward",0,3,male,55.5,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Davis, Mr. John",0,3,male,40.5,0,2,14.5,S,Third,man,True,,Southampton,no,False
"Gordon, Mr. Henry",0,3,male,,0,0,7.3125,S,Third,man,True,,Southampton,no,True
"Stewart, Mr. Robert",0,1,male,51.0,0,1,61.3792,C,First,man,True,,Cherbourg,no,False
"Kelly, Miss. Bridget",1,3,female,16.0,0,0,7.7333,Q,Third,woman,False,,Queenstown,yes,True
"Fitzgerald, Mr. George",0,3,male,30.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Clark, Mr. Harold",0,3,male,,0,0,8.6625,S,Third,man,True,,Southampton,no,True
"Jones, Mr. Patrick",0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
"Fitzgerald, Mr. Samuel",0,3,male,44.0,0,1,16.1,S,Third,man,True,,Southampton,no,False
"Martin, Miss. Sarah",1,2,female,40.0,0,0,15.75,S,Second,woman,False,,Southampton,yes,True
"Wilson, Mr. Joseph",0,3,male,26.0,0,0,7.775,S,Third,man,True,,Southampton,no,True
"Brown, Mr. Harold",0,3,male,17.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
"McCarthy, Master. James",0,3,male,1.0,4,1,39.6875,S,Third,child,False,,Southampton,no,False
"Smith, Master. James",1,3,male,9.0,0,2,20.525,S,Third,child,False,,Southampton,yes,False
"Carter, Mrs. Edith",1,1,female,,0,1,55.0,S,First,woman,False,E,Southampton,yes,False
"Brown, Mrs. Bertha",0,3,female,45.0,1,4,27.9,S,Third,woman,False,,Southampton,no,False
"Taylor, Mr. Patrick",0,1,male,,0,0,25.925,S,First,man,True,,Southampton,no,True
"Andrews, Mr. William",0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True
"White, Mr. Edward",0,1,male,61.0,0,0,33.5,S,First,man,True,B,Southampton,no,True
"Clark, Master. John",0,3,male,4.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
"White, Miss. Edith",1,3,female,1.0,1,1,11.1333,S,Third,child,False,,Southampton,yes,False
"Carter, Mr. Walter",0,3,male,21.0,0,0,7.925,S,Third,man,True,,Southampton,no,True
"Lewis, Mr. Henry",0,1,male,56.0,0,0,30.6958,C,First,man,True,A,Cherbourg,no,True
"Stewart, Mr. Charles",0,3,male,18.0,1,1,7.8542,S,Third,man,True,,Southampton,no,False
"Smith, Mr. Arthur",0,3,male,,3,1,25.4667,S,Third,man,True,,Southampton,no,False
"Phillips, Miss. Ruth",0,1,female,50.0,0,0,28.7125,C,First,woman,False,C,Cherbourg,no,True
"Walsh, Mr. Arthur",0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
"Thompson, Mr. George",0,3,male,36.0,0,0,0.0,S,Third,man,True,,Southampton,no,True
"Phillips, Mrs. Catherine",0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False
"Clark, Mr. Robert",0,2,male,,0,0,15.05,C,Second,man,True,,Cherbourg,no,True
"Clark, Master. Harold",0,3,male,9.0,4,2,31.3875,S,Third,child,False,,Southampton,no,False
"Carter, Master. Walter",1,2,male,1.0,2,1,39.0,S,Second,child,False,F,Southampton,yes,False
"Martin, Miss. Alice",1,3,female,4.0,0,2,22.025,S,Third,child,False,,Southampton,yes,False
"Smith, Mr. William",0,1,male,,0,0,50.0,S,First,man,True,A,Southampton,no,True
"Lewis, Miss. Bridget",1,3,female,,1,0,15.5,Q,Third,woman,False,,Queenstown,yes,False
"Jones, Mr. Harold",1,1,male,45.0,0,0,26.55,S,First,man,True,,Southampton,yes,True
"Quinn, Mr. Samuel",0,3,male,40.0,1,1,15.5,Q,Third,man,True,,Queenstown,no,False
"Smith, Mr. Henry",0,3,male,36.0,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Martin, Miss. Bridget",1,2,female,32.0,0,0,13.0,S,Second,woman,False,,Southampton,yes,True
"Phillips, Mr. George",0,2,male,19.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
"Allen, Miss. Ruth",1,3,female,19.0,1,0,7.8542,S,Third,woman,False,,Southampton,yes,False
"Martin, Master. Harold",1,2,male,3.0,1,1,26.0,S,Second,child,False,F,Southampton,yes,False
"Brown, Miss. Elizabeth",1,1,female,44.0,0,0,27.7208,C,First,woman,False,B,Cherbourg,yes,True
"Gordon, Miss. Margaret",1,1,female,58.0,0,0,146.5208,C,First,woman,False,B,Cherbourg,yes,True
"Davis, Mr. Thomas",0,3,male,,0,0,7.75,Q,Third,man,True,,Queenstown,no,True
"Phillips, Mr. Walter",0,3,male,42.0,0,1,8.4042,S,Third,man,True,,Southampton,no,False
"Evans, Miss. Edith",1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
"Bird, Miss. Catherine",0,2,female,24.0,0,0,13.0,S,Second,woman,False,,Southampton,no,True
"White, Mr. Robert",0,3,male,28.0,0,0,9.5,S,Third,man,True,,Southampton,no,True
"Smith, Mr. Robert",0,3,male,,8,2,69.55,S,Third,man,True,,Southampton,no,False
"Roberts, Mr. Edward",0,3,male,34.0,0,0,6.4958,S,Third,man,True,,Southampton,no,True
"Kelly, Mr. Henry",0,3,male,45.5,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
"Brown, Mr. Walter",1,3,male,18.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
"Allen, Miss. Alice",0,3,female,2.0,0,1,10.4625,S,Third,child,False,G,Southampton,no,False
"Taylor, Mr. James",0,3,male,32.0,1,0,15.85,S,Third,man,True,,Southampton,no,False
"Davies, Mr. James",1,3,male,26.0,0,0,18.7875,C,Third,man,True,,Cherbourg,yes,True
"Davies, Miss. Alice",1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
"Clark, Mr. John",1,1,male,40.0,0,0,31.0,C,First,man,True,A,Cherbourg,yes,True
"Harris, Mr. Edward",0,3,male,24.0,0,0,7.05,S,Third,man,True,,Southampton,no,True
"Davies, Miss. Catherine",1,2,female,35.0,0,0,21.0,S,Second,woman,False,,Southampton,yes,True
"McCarthy, Mr. Arthur",0,3,male,22.0,0,0,7.25,S,Third,man,True,,Southampton,no,True
"Jones, Mr. Charles",0,2,male,30.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
"Taylor, Mr. William",0,3,male,,1,0,7.75,Q,Third,man,True,,Queenstown,no,False
"Davies, Miss. Bertha",1,1,female,31.0,1,0,113.275,C,First,woman,False,D,Cherbourg,yes,False
"O'Brien, Miss. Elizabeth",1,3,female,27.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True
"Quinn, Mr. Walter",0,2,male,42.0,1,0,27.0,S,Second,man,True,,Southampton,no,False
"Lewis, Miss. Catherine",1,1,female,32.0,0,0,76.2917,C,First,woman,False,D,Cherbourg,yes,True
"Brown, Mr. Walter",0,2,male,30.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
"Roberts, Mr. Walter",1,3,male,16.0,0,0,8.05,S,Third,man,True,,Southampton,yes,True
